tinh_code,tinh,huyen_code,huyen,xa_code,xa
1,Hà Nội,1,Quận Ba Đình,1,Phường Phúc Xá
1,Hà Nội,1,Quận Ba Đình,4,Phường Trúc Bạch
1,Hà Nội,1,Quận Ba Đình,6,Phường Vĩnh Phúc
1,Hà Nội,1,Quận Ba Đình,7,Phường Cống Vị
1,Hà Nội,1,Quận Ba Đình,8,Phường Liễu Giai
1,Hà Nội,1,Quận Ba Đình,10,Phường Nguyễn Trung Trực
1,Hà Nội,1,Quận Ba Đình,13,Phường Quán Thánh
1,Hà Nội,1,Quận Ba Đình,16,Phường Ngọc Hà
1,Hà Nội,1,Quận Ba Đình,19,Phường Điện Biên
1,Hà Nội,1,Quận Ba Đình,22,Phường Đội Cấn
1,Hà Nội,1,Quận Ba Đình,25,Phường Ngọc Khánh
1,Hà Nội,1,Quận Ba Đình,28,Phường Kim Mã
1,Hà Nội,1,Quận Ba Đình,31,Phường Giảng Võ
1,Hà Nội,1,Quận Ba Đình,34,Phường Thành Công
1,Hà Nội,2,Quận Hoàn Kiếm,37,Phường Phúc Tân
1,Hà Nội,2,Quận Hoàn Kiếm,40,Phường Đồng Xuân
1,Hà Nội,2,Quận Hoàn Kiếm,43,Phường Hàng Mã
1,Hà Nội,2,Quận Hoàn Kiếm,46,Phường Hàng Buồm
1,Hà Nội,2,Quận Hoàn Kiếm,49,Phường Hàng Đào
1,Hà Nội,2,Quận Hoàn Kiếm,52,Phường Hàng Bồ
1,Hà Nội,2,Quận Hoàn Kiếm,55,Phường Cửa Đông
1,Hà Nội,2,Quận Hoàn Kiếm,58,Phường Lý Thái Tổ
1,Hà Nội,2,Quận Hoàn Kiếm,61,Phường Hàng Bạc
1,Hà Nội,2,Quận Hoàn Kiếm,64,Phường Hàng Gai
1,Hà Nội,2,Quận Hoàn Kiếm,67,Phường Chương Dương
1,Hà Nội,2,Quận Hoàn Kiếm,70,Phường Hàng Trống
1,Hà Nội,2,Quận Hoàn Kiếm,73,Phường Cửa Nam
1,Hà Nội,2,Quận Hoàn Kiếm,76,Phường Hàng Bông
1,Hà Nội,2,Quận Hoàn Kiếm,79,Phường Tràng Tiền
1,Hà Nội,2,Quận Hoàn Kiếm,82,Phường Trần Hưng Đạo
1,Hà Nội,2,Quận Hoàn Kiếm,85,Phường Phan Chu Trinh
1,Hà Nội,2,Quận Hoàn Kiếm,88,Phường Hàng Bài
1,Hà Nội,3,Quận Tây Hồ,91,Phường Phú Thượng
1,Hà Nội,3,Quận Tây Hồ,94,Phường Nhật Tân
1,Hà Nội,3,Quận Tây Hồ,97,Phường Tứ Liên
1,Hà Nội,3,Quận Tây Hồ,100,Phường Quảng An
1,Hà Nội,3,Quận Tây Hồ,103,Phường Xuân La
1,Hà Nội,3,Quận Tây Hồ,106,Phường Yên Phụ
1,Hà Nội,3,Quận Tây Hồ,109,Phường Bưởi
1,Hà Nội,3,Quận Tây Hồ,112,Phường Thụy Khuê
1,Hà Nội,4,Quận Long Biên,115,Phường Thượng Thanh
1,Hà Nội,4,Quận Long Biên,118,Phường Ngọc Thụy
1,Hà Nội,4,Quận Long Biên,121,Phường Giang Biên
1,Hà Nội,4,Quận Long Biên,124,Phường Đức Giang
1,Hà Nội,4,Quận Long Biên,127,Phường Việt Hưng
1,Hà Nội,4,Quận Long Biên,130,Phường Gia Thụy
1,Hà Nội,4,Quận Long Biên,133,Phường Ngọc Lâm
1,Hà Nội,4,Quận Long Biên,136,Phường Phúc Lợi
1,Hà Nội,4,Quận Long Biên,139,Phường Bồ Đề
1,Hà Nội,4,Quận Long Biên,142,Phường Sài Đồng
1,Hà Nội,4,Quận Long Biên,145,Phường Long Biên
1,Hà Nội,4,Quận Long Biên,148,Phường Thạch Bàn
1,Hà Nội,4,Quận Long Biên,151,Phường Phúc Đồng
1,Hà Nội,4,Quận Long Biên,154,Phường Cự Khối
1,Hà Nội,5,Quận Cầu Giấy,157,Phường Nghĩa Đô
1,Hà Nội,5,Quận Cầu Giấy,160,Phường Nghĩa Tân
1,Hà Nội,5,Quận Cầu Giấy,163,Phường Mai Dịch
1,Hà Nội,5,Quận Cầu Giấy,166,Phường Dịch Vọng
1,Hà Nội,5,Quận Cầu Giấy,167,Phường Dịch Vọng Hậu
1,Hà Nội,5,Quận Cầu Giấy,169,Phường Quan Hoa
1,Hà Nội,5,Quận Cầu Giấy,172,Phường Yên Hoà
1,Hà Nội,5,Quận Cầu Giấy,175,Phường Trung Hoà
1,Hà Nội,6,Quận Đống Đa,178,Phường Cát Linh
1,Hà Nội,6,Quận Đống Đa,181,Phường Văn Miếu
