ghn_district_id,provine_id,name
3715,202,33
3713,202,Quận mới
3695,202,Thành Phố Thủ Đức 1
3694,246,Huyện Quảng Hòa
3451,268,Quận Đặc Biệt
3446,259,Huyện Ia H Drai
3445,250,Huyện Long Mỹ
3444,239,Huyện Phú Riềng
3443,214,Thị xã Duyên Hải
3441,236,Thị xã Kỳ Anh
3440,201,Quận Nam Từ Liêm
3418,210,Huyện M Đrắk
3329,211,Thị xã Kiến Tường
3327,233,Huyện Yên Mô
3323,231,Huyện Xuân Trường
3320,236,Huyện Vũ Quang
3319,231,Huyện Vụ Bản
3317,220,Huyện Vĩnh Thạnh
3315,211,Huyện Vĩnh Hưng
3312,262,Huyện Vân Canh
3311,247,Huyện Văn Quan
3310,247,Huyện Văn Lãng
3308,231,Huyện Trực Ninh
3305,246,Huyện Trà Lĩnh
3304,242,Huyện Trà Bồng
3303,201,Huyện Thường Tín
3302,261,Huyện Thuận Nam
3301,261,Huyện Thuận Bắc
3300,220,Huyện Thới Lai
3299,246,Huyện Thông Nông
3298,234,Huyện Thiệu Hóa
3294,225,Huyện Thanh Miện
3293,211,Huyện Thạnh Hóa
3292,225,Huyện Thanh Hà
3291,235,Huyện Thanh Chương
3290,229,Huyện Thanh Ba
3289,246,Huyện Thạch An
3288,235,Huyện Tương Dương
3287,225,Huyện Tứ Kỳ
3286,237,Huyện Tuyên Hóa
3284,260,Huyện Tuy An
3281,226,Huyện Tiền Hải
3279,262,Huyện Tây Sơn
3278,260,Huyện Tây Hòa
3276,211,Huyện Tân Thạnh
3275,212,Huyện Tân Phước
3273,211,Huyện Tân Hưng
3272,229,Huyện Tam Nông
3271,221,Huyện Tam Đảo
3270,242,Huyện Sơn Tây
3267,228,Huyện Sơn Dương
3266,266,huyện Sốp Cộp
3265,221,Huyện Sông Lô
3261,235,Huyện Quỳ Châu
3260,235,Huyện Quế Phong
3259,246,Huyện Quảng Uyên
3258,237,Huyện Quảng Trạch
3257,223,Huyện Quảng Điền
3255,201,Huyện Phú Xuyên
3254,262,Huyện Phù Mỹ
3250,220,Huyện Phong Điền
3249,245,Huyện Pác Nặm
3247,233,Huyện Nho Quan
3246,246,Huyện Nguyên Bình
3243,231,Huyện Nghĩa Hưng
3242,245,Huyện Ngân Sơn
3241,234,Huyện Nga Sơn
3238,225,Huyện Ninh Giang
3234,223,Huyện Nam Đông
3233,235,Huyện Nam Đàn
3232,245,Huyện Na Rì
3230,266,Huyện Mường La
3227,211,Huyện Mộc Hóa
3226,242,Huyện Mộ Đức
3224,237,Huyện Minh Hóa
3220,236,Huyện Lộc Hà
3218,250,Thị xã Long Mỹ
3217,210,Huyện Lắk
3216,234,Huyện Lang Chánh
3213,208,Huyện Khánh Vĩnh
3212,208,Huyện Khánh Sơn
3211,235,Huyện Kỳ Sơn
3205,233,Huyện Kim Sơn
3203,224,Huyện Kiến Thụy
3201,236,Huyện Hương Sơn
3200,216,Thành phố Hồng Ngự
3199,230,Huyện Hoành Bồ
3196,258,Huyện Hàm Tân
3194,246,Huyện Hạ Lang
3193,231,Huyện Giao Thủy
3191,233,Huyện Gia Viễn
3188,236,Huyện Đức Thọ
3186,260,Huyện Đồng Xuân
3185,230,Thị xã Đông Triều
3184,260,Thị xã Đông Hòa
3182,247,Huyện Đình Lập
3180,230,Huyện Đầm Hà
3160,209,Huyện Di Linh
3158,213,Huyện Chợ Lách
3157,228,Huyện Chiêm Hóa
3156,247,Huyện Chi Lăng
3155,216,Huyện Châu Thành
3153,210,Huyện Cư Kuin
3152,241,Huyện Cư Jút
3150,220,Huyện Cờ Đỏ
3147,234,Huyện Cẩm Thủy
3146,209,Huyện Cát Tiên
3143,236,Huyện Can Lộc
3141,239,Huyện Bù Gia Mập
3140,239,Huyện Bù Đốp
3138,247,Huyện Bình Gia
3135,205,Huyện Bắc Tân Uyên
3134,247,Huyện Bắc Sơn
3132,205,Huyện Bàu Bàng
3130,246,Huyện Bảo Lạc
3129,261,Huyện Bác Ái
3127,242,Huyện Ba Tơ
3126,230,Huyện Ba Chẽ
3125,219,Huyện An Minh
2272,218,Thị xã Vĩnh Châu
2270,267,Huyện Yên Thủy
2268,229,Huyện Yên Lập
2267,266,Huyện Yên Châu
2266,263,Huyện Yên Bình
2264,269,Huyện Xi Ma Cai (test)
2263,215,Huyện Vũng Liêm
2260,219,Huyện Vĩnh Thuận
2258,262,Huyện Vĩnh Thạnh
2256,227,Huyện Vị Xuyên
2255,266,Huyện Vân Hồ
2251,219,Huyện U Minh Thượng
2249,234,Huyện Triệu Sơn
2248,263,Huyện Trạm Tấu
2239,243,Huyện Thăng Bình
2238,218,Huyện Thạnh Trị
2237,229,Huyện Thanh Thủy
2227,241,Huyện Tuy Đức
2225,259,Huyện Tu Mơ Rông
2224,243,Huyện Tiên Phước
2222,242,Huyện Tây Trà
2219,243,Huyện Tây Giang
2216,212,Huyện Tân Phú Đông
2211,260,Huyện Sơn Hòa
2210,242,Huyện Sơn Hà
2206,260,Huyện Sông Hinh
2205,259,Huyện Sa Thầy
2204,266,Huyện Quỳnh Nhai
2198,243,Huyện Phước Sơn
2195,244,Huyện Phú Lương
2194,268,Huyện Phù Cừ
2193,223,Huyện Phong Điền
2190,234,Huyện Như Thanh
2187,259,Huyện Ngọc Hồi
2186,252,Huyện Ngọc Hiển
2182,243,Huyện Nông Sơn
2181,234,Huyện Nông Cống
2179,265,Huyện Nậm Pồ
2178,243,Huyện Nam Trà My
2177,243,Huyện Nam Giang
2173,218,Huyện Mỹ Tú
2171,269,Huyện Mường Khương
2170,265,Huyện Mường Ảng
2167,242,Huyện Minh Long
2165,207,Huyện Mang Yang
2164,215,Huyện Mang Thít
2163,267,Huyện Mai Châu
2161,218,Huyện Long Phú
2157,267,Huyện Lạc Thủy
2156,267,Huyện Lạc Sơn
2152,207,Huyện Krông Pa
2151,241,Huyện Krông Nô
2150,210,Huyện Krông Búk
2149,207,Huyện Kông Chro
2148,259,Huyện Kon Rẫy
2146,267,Huyện Kim Bôi
2144,207,Huyện Kbang
2140,262,Huyện Hoài Ân
2139,243,Huyện Hiệp Đức
2137,238,Huyện Hải Lăng
2134,219,Huyện Giang Thành
2132,219,Huyện Gò Quao
2131,210,Huyện Ea Súp
2129,211,Huyện Đức Huệ
2125,243,Huyện Đông Giang
2123,265,Huyện Điện Biên Đông
2121,259,Huyện Đắk Tô
2120,241,Huyện Đắk Song
2119,207,Huyện Đắk Pơ
2118,207,Huyện Đắk Đoa
