ghn_ward_id,district_id,name
907557,3440,Phường Mễ Trì
13010,3440,Phường Xuân Phương
13009,3440,Phường Trung Văn
13008,3440,Phường Tây Mỗ
13007,3440,Phường Phương Canh
13006,3440,Phường Phú Đô
13005,3440,Phường Mỹ Đình 2
13004,3440,Phường Mỹ Đình 1
13003,3440,Phường Mễ Trì
13002,3440,Phường Đại Mỗ
13001,3440,Phường Cầu Diễn
1B2729,3303,Xã Văn Tự
1B2728,3303,Xã Vân Tảo
1B2727,3303,Xã Văn Phú
1B2726,3303,Xã Vạn Điểm
1B2725,3303,Xã Văn Bình
1B2724,3303,Xã Tự Nhiên
1B2723,3303,Xã Tô Hiệu
1B2722,3303,Xã Tiền Phong
1B2721,3303,Xã Thư Phú
1B2720,3303,Xã Thống Nhất
1B2719,3303,Xã Thắng Lợi
1B2718,3303,Xã Tân Minh
1B2717,3303,Xã Quất Động
1B2716,3303,Xã Ninh Sở
1B2715,3303,Xã Nhị Khê
1B2714,3303,Xã Nguyễn Trãi
1B2713,3303,Xã Nghiêm Xuyên
1B2712,3303,Xã Minh Cường
1B2711,3303,Xã Liên Phương
1B2710,3303,Xã Lê Lợi
1B2709,3303,Xã Khánh Hà
1B2708,3303,Xã Hồng Vân
1B2707,3303,Xã Hòa Bình
1B2706,3303,Xã Hiền Giang
1B2705,3303,Xã Hà Hồi
1B2704,3303,Xã Duyên Thái
1B2703,3303,Xã Dũng Tiến
1B2702,3303,Xã Chương Dương
1B2701,3303,Thị trấn Thường Tín
800214,3255,Xã Nam Tiến
1B2828,3255,Xã Vân Từ
1B2827,3255,Xã Văn Nhân
1B2826,3255,Xã Văn Hoàng
1B2825,3255,Xã Tri Trung
1B2824,3255,Xã Tri Thủy
1B2823,3255,Xã Thụy Phú
1B2822,3255,Xã Tân Dân
1B2821,3255,Xã Sơn Hà
1B2820,3255,Xã Quang Trung
1B2819,3255,Xã Quang Lãng
1B2818,3255,Xã Phượng Dực
1B2817,3255,Xã Phúc Tiến
1B2816,3255,Xã Phú Yên
1B2815,3255,Xã Phú Túc
1B2814,3255,Xã Nam Triều
1B2813,3255,Xã Nam Phong
1B2812,3255,Xã Minh Tân
1B2811,3255,Xã Khai Thái
1B2810,3255,Xã Hồng Thái
1B2809,3255,Xã Hồng Minh
1B2808,3255,Xã Hoàng Long
1B2807,3255,Xã Đại Xuyên
1B2806,3255,Xã Đại Thắng
1B2805,3255,Xã Chuyên Mỹ
1B2804,3255,Xã Châu Can
1B2803,3255,Xã Bạch Hạ
1B2802,3255,Thị trấn Phú Xuyên
1B2801,3255,Thị trấn Phú Minh
1B2021,2004,Xã Yên Sơn
1B2020,2004,Xã Tuyết Nghĩa
1B2019,2004,Xã Thạch Thán
1B2018,2004,Xã Tân Phú
1B2017,2004,Xã Tân Hòa
1B2016,2004,Xã Sài Sơn
1B2015,2004,Xã Phượng Cách
1B2014,2004,Xã Phú Mãn
1B2013,2004,Xã Phú Cát
1B2012,2004,Xã Ngọc Mỹ
1B2011,2004,Xã Ngọc Liệp
1B2010,2004,Xã Nghĩa Hương
1B2009,2004,Xã Liệp Tuyết
1B2008,2004,Xã Hòa Thạch
1B2007,2004,Xã Đông Yên
1B2006,2004,Xã Đông Xuân
1B2005,2004,Xã Đồng Quang
1B2004,2004,Xã Đại Thành
1B2003,2004,Xã Cộng Hòa
1B2002,2004,Xã Cấn Hữu
1B2001,2004,Thị trấn Quốc Oai
1B2132,1915,Xã Văn Võ
1B2131,1915,Xã Trường Yên
1B2130,1915,Xã Trung Hòa
1B2129,1915,Xã Trần Phú
1B2128,1915,Xã Tốt Động
1B2127,1915,Xã Tiên Phương
1B2126,1915,Xã Thủy Xuân Tiên
1B2125,1915,Xã Thụy Hương
1B2124,1915,Xã Thượng Vực
1B2123,1915,Xã Thanh Bình
1B2122,1915,Xã Tân Tiến
1B2121,1915,Xã Quảng Bị
1B2120,1915,Xã Phụng Châu
1B2119,1915,Xã Phú Nghĩa
1B2118,1915,Xã Phú Nam An
1B2117,1915,Xã Ngọc Hòa
1B2116,1915,Xã Nam Phương Tiến
1B2115,1915,Xã Mỹ Lương
1B2114,1915,Xã Lam Điền
1B2113,1915,Xã Hữu Văn
1B2112,1915,Xã Hợp Đồng
1B2111,1915,Xã Hồng Phong
1B2110,1915,Xã Hoàng Văn Thụ
1B2109,1915,Xã Hoàng Diệu
1B2108,1915,Xã Hòa Chính
1B2107,1915,Xã Đông Sơn
1B2106,1915,Xã Đông Phương Yên
1B2105,1915,Xã Đồng Phú
1B2104,1915,Xã Đồng Lạc
1B2103,1915,Xã Đại Yên
1B2102,1915,Thị trấn Xuân Mai
1B2101,1915,Thị trấn Chúc Sơn
1B2629,1810,Xã Viên Nội
1B2628,1810,Xã Viên An
1B2627,1810,Xã Vạn Thái
1B2626,1810,Xã Trường Thịnh
1B2625,1810,Xã Trung Tú
1B2624,1810,Xã Trầm Lộng
1B2623,1810,Xã Tảo Dương Văn
1B2622,1810,Xã Sơn Công
1B2621,1810,Xã Quảng Phú Cầu
1B2620,1810,Xã Phương Tú
1B2619,1810,Xã Phù Lưu
1B2618,1810,Xã Minh Đức
1B2617,1810,Xã Lưu Hoàng
1B2616,1810,Xã Liên Bạt
1B2615,1810,Xã Kim Đường
1B2614,1810,Xã Hồng Quang
1B2613,1810,Xã Hòa Xá
1B2612,1810,Xã Hoa Sơn
1B2611,1810,Xã Hòa Phú
1B2610,1810,Xã Hòa Nam
1B2609,1810,Xã Hòa Lâm
1B2608,1810,Xã Đồng Tiến
1B2607,1810,Xã Đồng Tân
1B2606,1810,Xã Đông Lỗ
1B2605,1810,Xã Đội Bình
1B2604,1810,Xã Đại Hùng
1B2603,1810,Xã Đại Cường
1B2602,1810,Xã Cao Thành
1B2601,1810,Thị trấn Vân Đình
1B2421,1809,Xã Xuân Dương
1B2420,1809,Xã Thanh Văn
