"id","name","code","reconcile","account_type","name@vi_VN"
"chart111","Cash","111","False","asset_current","Cash"
"chart1112","Ngoại tệ","1112","False","asset_current","Ngoại tệ"
"chart1113","Vàng tiền tệ","1113","False","asset_current","Vàng tiền tệ"
"chart112","Tiền gửi ngân hàng","112","False","asset_current","Tiền gửi ngân hàng"
"chart113","Tiền đang chuyển","113","False","asset_current","Tiền đang chuyển"
"chart1132","Ngoại tệ","1132","False","asset_current","Ngoại tệ"
"chart121","Chứng khoán kinh doanh","121","False","asset_current","Chứng khoán kinh doanh"
"chart128","Đầu tư nắm giữ đến ngày đáo hạn","128","False","asset_current","Đầu tư nắm giữ đến ngày đáo hạn"
"chart153","Công cụ, dụng cụ","153","False","asset_current","Công cụ, dụng cụ"
"chart154","Chi phí sản xuất, kinh doanh dở dang","154","False","asset_current","Chi phí sản xuất, kinh doanh dở dang"
"chart155","Thành phẩm","155","False","asset_current","Thành phẩm"
"chart156","Hàng hóa","156","False","asset_current","Hàng hóa"
"chart15611","Giá trị hàng nhập kho","15611","False","asset_current","Giá trị hàng nhập kho"
"chart15612","Giá trị hàng xuất kho","15612","False","asset_current","Giá trị hàng xuất kho"
"chart161","Chi sự nghiệp","161","False","asset_current","Chi sự nghiệp"
"chart333","Thuế và các khoản phải nộp Nhà nước","333","False","liability_current","Thuế và các khoản phải nộp Nhà nước"
"chart3331","Thuế giá trị gia tăng phải nộp","3331","False","liability_current","Thuế giá trị gia tăng phải nộp"
"chart341","Vay và nợ thuê tài chính","341","False","liability_current","Vay và nợ thuê tài chính"
"chart343","Trái phiếu phát hành","343","False","liability_current","Trái phiếu phát hành"
"chart352","Dự phòng phải trả","352","False","liability_current","Dự phòng phải trả"
"chart353","Qũy khen thưởng phúc lợi","353","False","liability_current","Qũy khen thưởng phúc lợi"
"chart356","Qũy phát triển khoa học và công nghệ","356","False","liability_current","Qũy phát triển khoa học và công nghệ"
"chart411","Vốn đầu tư của chủ sở hữu","411","False","equity","Vốn đầu tư của chủ sở hữu"
"chart4111","Vốn góp của chủ sở hữu","4111","False","equity","Vốn góp của chủ sở hữu"
"chart413","Chênh lệch tỷ giá hối đoái","413","False","equity","Chênh lệch tỷ giá hối đoái"
"chart421","Lợi nhuận sau thuế chưa phân phối","421","False","equity","Lợi nhuận sau thuế chưa phân phối"
"chart461","Nguồn kinh phí sự nghiệp","461","False","equity","Nguồn kinh phí sự nghiệp"
"chart611","Mua hàng","611","False","expense","Mua hàng"
"chart6112","Mua hàng hóa","6112","False","expense","Mua hàng hóa"
"chart623","Chi phí sử dụng máy thi công","623","False","expense","Chi phí sử dụng máy thi công"
"chart627","Chi phí sản xuất chung","627","False","expense","Chi phí sản xuất chung"
"chart641","Chi phí bán hàng","641","False","expense","Chi phí bán hàng"
"chart642","Chi phí quản lý doanh nghiệp","642","False","expense","Chi phí quản lý doanh nghiệp"
"chart821","Chi phí thuế thu nhập doanh nghiệp","821","False","expense","Chi phí thuế thu nhập doanh nghiệp"
"chart211","Tài sản cố định hữu hình","211","False","asset_fixed","Tài sản cố định hữu hình"
"chart212","Tài sản cố định thuê tài chính","212","False","asset_fixed","Tài sản cố định thuê tài chính"
"chart213","Tài sản cố định vô hình","213","False","asset_fixed","Tài sản cố định vô hình"
"chart511","Doanh thu bán hàng và cung cấp dịch vụ","511","False","income","Doanh thu bán hàng và cung cấp dịch vụ"
"chart521","Các khoản giảm trừ doanh thu","521","False","income","Các khoản giảm trừ doanh thu"
"chart214","Hao mòn tài sản cố định","214","False","asset_non_current","Hao mòn tài sản cố định"
"chart228","Đầu tư khác","228","False","asset_non_current","Đầu tư khác"
"chart2288","Đầu tư khác","2288","False","asset_non_current","Đầu tư khác"
"chart229","Dự phòng tổn thất tài sản","229","False","asset_non_current","Dự phòng tổn thất tài sản"
"chart241","Xây dựng cơ bản dở dang","241","False","asset_non_current","Xây dựng cơ bản dở dang"
"chart334","Vay và nợ thuê tài chính","334","True","liability_payable","Vay và nợ thuê tài chính"
"chart336","Phải trả nội bộ","336","True","liability_payable","Phải trả nội bộ"
"chart338","Phải trả, phải nộp khác","338","True","liability_payable","Phải trả, phải nộp khác"
"chart133","Thuế GTGT được khấu trừ","133","True","asset_receivable","Thuế GTGT được khấu trừ"
"chart136","Phải thu nội bộ","136","True","asset_receivable","Phải thu nội bộ"
"chart138","Phải thu khác","138","True","asset_receivable","Phải thu khác"
