tinh_code,tinh,huyen_code,huyen,xa_code,xa
01,Hà N?i,001,Qu?n Ba ?ình,00001,Ph??ng Phúc Xá
01,Hà N?i,001,Qu?n Ba ?ình,00004,Ph??ng Trúc B?ch
01,Hà N?i,001,Qu?n Ba ?ình,00006,Ph??ng V?nh Phúc
01,Hà N?i,001,Qu?n Ba ?ình,00007,Ph??ng C?ng V?
01,Hà N?i,001,Qu?n Ba ?ình,00008,Ph??ng Li?u Giai
01,Hà N?i,001,Qu?n Ba ?ình,00010,Ph??ng Nguy?n Trung Tr?c
01,Hà N?i,001,Qu?n Ba ?ình,00013,Ph??ng Quán Thánh
01,Hà N?i,001,Qu?n Ba ?ình,00016,Ph??ng Ng?c Hà
01,Hà N?i,001,Qu?n Ba ?ình,00019,Ph??ng ?i?n Biên
01,Hà N?i,001,Qu?n Ba ?ình,00022,Ph??ng ??i C?n
01,Hà N?i,001,Qu?n Ba ?ình,00025,Ph??ng Ng?c Khánh
01,Hà N?i,001,Qu?n Ba ?ình,00028,Ph??ng Kim Mã
01,Hà N?i,001,Qu?n Ba ?ình,00031,Ph??ng Gi?ng Võ
01,Hà N?i,001,Qu?n Ba ?ình,00034,Ph??ng Thành Công
01,Hà N?i,002,Qu?n Hoàn Ki?m,00037,Ph??ng Phúc Tân
01,Hà N?i,002,Qu?n Hoàn Ki?m,00040,Ph??ng ??ng Xuân
01,Hà N?i,002,Qu?n Hoàn Ki?m,00043,Ph??ng Hàng Mã
01,Hà N?i,002,Qu?n Hoàn Ki?m,00046,Ph??ng Hàng Bu?m
01,Hà N?i,002,Qu?n Hoàn Ki?m,00049,Ph??ng Hàng ?ào
01,Hà N?i,002,Qu?n Hoàn Ki?m,00052,Ph??ng Hàng B?
01,Hà N?i,002,Qu?n Hoàn Ki?m,00055,Ph??ng C?a ?ông
01,Hà N?i,002,Qu?n Hoàn Ki?m,00058,Ph??ng Lý Thái T?
01,Hà N?i,002,Qu?n Hoàn Ki?m,00061,Ph??ng Hàng B?c
01,Hà N?i,002,Qu?n Hoàn Ki?m,00064,Ph??ng Hàng Gai
01,Hà N?i,002,Qu?n Hoàn Ki?m,00067,Ph??ng Ch??ng D??ng
01,Hà N?i,002,Qu?n Hoàn Ki?m,00070,Ph??ng Hàng Tr?ng
01,Hà N?i,002,Qu?n Hoàn Ki?m,00073,Ph??ng C?a Nam
01,Hà N?i,002,Qu?n Hoàn Ki?m,00076,Ph??ng Hàng Bông
01,Hà N?i,002,Qu?n Hoàn Ki?m,00079,Ph??ng Tràng Ti?n
01,Hà N?i,002,Qu?n Hoàn Ki?m,00082,Ph??ng Tr?n H?ng ??o
01,Hà N?i,002,Qu?n Hoàn Ki?m,00085,Ph??ng Phan Chu Trinh
01,Hà N?i,002,Qu?n Hoàn Ki?m,00088,Ph??ng Hàng Bài
01,Hà N?i,003,Qu?n Tây H?,00091,Ph??ng Phú Th??ng
01,Hà N?i,003,Qu?n Tây H?,00094,Ph??ng Nh?t Tân
01,Hà N?i,003,Qu?n Tây H?,00097,Ph??ng T? Liên
01,Hà N?i,003,Qu?n Tây H?,00100,Ph??ng Qu?ng An
01,Hà N?i,003,Qu?n Tây H?,00103,Ph??ng Xuân La
01,Hà N?i,003,Qu?n Tây H?,00106,Ph??ng Yên Ph?
01,Hà N?i,003,Qu?n Tây H?,00109,Ph??ng B??i
01,Hà N?i,003,Qu?n Tây H?,00112,Ph??ng Th?y Khuê
01,Hà N?i,004,Qu?n Long Biên,00115,Ph??ng Th??ng Thanh
01,Hà N?i,004,Qu?n Long Biên,00118,Ph??ng Ng?c Th?y
01,Hà N?i,004,Qu?n Long Biên,00121,Ph??ng Giang Biên
01,Hà N?i,004,Qu?n Long Biên,00124,Ph??ng ??c Giang
01,Hà N?i,004,Qu?n Long Biên,00127,Ph??ng Vi?t H?ng
01,Hà N?i,004,Qu?n Long Biên,00130,Ph??ng Gia Th?y
01,Hà N?i,004,Qu?n Long Biên,00133,Ph??ng Ng?c Lâm
01,Hà N?i,004,Qu?n Long Biên,00136,Ph??ng Phúc L?i
01,Hà N?i,004,Qu?n Long Biên,00139,Ph??ng B? ??
01,Hà N?i,004,Qu?n Long Biên,00142,Ph??ng Sài ??ng
01,Hà N?i,004,Qu?n Long Biên,00145,Ph??ng Long Biên
01,Hà N?i,004,Qu?n Long Biên,00148,Ph??ng Th?ch Bàn
01,Hà N?i,004,Qu?n Long Biên,00151,Ph??ng Phúc ??ng
01,Hà N?i,004,Qu?n Long Biên,00154,Ph??ng C? Kh?i
01,Hà N?i,005,Qu?n C?u Gi?y,00157,Ph??ng Ngh?a ?ô
01,Hà N?i,005,Qu?n C?u Gi?y,00160,Ph??ng Ngh?a Tân
01,Hà N?i,005,Qu?n C?u Gi?y,00163,Ph??ng Mai D?ch
01,Hà N?i,005,Qu?n C?u Gi?y,00166,Ph??ng D?ch V?ng
01,Hà N?i,005,Qu?n C?u Gi?y,00167,Ph??ng D?ch V?ng H?u
01,Hà N?i,005,Qu?n C?u Gi?y,00169,Ph??ng Quan Hoa
01,Hà N?i,005,Qu?n C?u Gi?y,00172,Ph??ng Yên Hoà
01,Hà N?i,005,Qu?n C?u Gi?y,00175,Ph??ng Trung Hoà
01,Hà N?i,006,Qu?n ??ng ?a,00178,Ph??ng Cát Linh
01,Hà N?i,006,Qu?n ??ng ?a,00181,Ph??ng V?n Mi?u
01,Hà N?i,006,Qu?n ??ng ?a,00184,Ph??ng Qu?c T? Giám
01,Hà N?i,006,Qu?n ??ng ?a,00187,Ph??ng Láng Th??ng
01,Hà N?i,006,Qu?n ??ng ?a,00190,Ph??ng Ô Ch? D?a
01,Hà N?i,006,Qu?n ??ng ?a,00193,Ph??ng V?n Ch??ng
01,Hà N?i,006,Qu?n ??ng ?a,00196,Ph??ng Hàng B?t
01,Hà N?i,006,Qu?n ??ng ?a,00199,Ph??ng Láng H?
01,Hà N?i,006,Qu?n ??ng ?a,00202,Ph??ng Khâm Thiên
01,Hà N?i,006,Qu?n ??ng ?a,00205,Ph??ng Th? Quan
01,Hà N?i,006,Qu?n ??ng ?a,00208,Ph??ng Nam ??ng
01,Hà N?i,006,Qu?n ??ng ?a,00211,Ph??ng Trung Ph?ng
01,Hà N?i,006,Qu?n ??ng ?a,00214,Ph??ng Quang Trung
01,Hà N?i,006,Qu?n ??ng ?a,00217,Ph??ng Trung Li?t
01,Hà N?i,006,Qu?n ??ng ?a,00220,Ph??ng Ph??ng Liên
01,Hà N?i,006,Qu?n ??ng ?a,00223,Ph??ng Th?nh Quang
01,Hà N?i,006,Qu?n ??ng ?a,00226,Ph??ng Trung T?
01,Hà N?i,006,Qu?n ??ng ?a,00229,Ph??ng Kim Liên
01,Hà N?i,006,Qu?n ??ng ?a,00232,Ph??ng Ph??ng Mai
01,Hà N?i,006,Qu?n ??ng ?a,00235,Ph??ng Ngã T? S?
01,Hà N?i,006,Qu?n ??ng ?a,00238,Ph??ng Kh??ng Th??ng
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00241,Ph??ng Nguy?n Du
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00244,Ph??ng B?ch ??ng
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00247,Ph??ng Ph?m ?ình H?
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00256,Ph??ng Lê ??i Hành
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00259,Ph??ng ??ng Nhân
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00262,Ph??ng Ph? Hu?
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00265,Ph??ng ??ng Mác
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00268,Ph??ng Thanh L??ng
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00271,Ph??ng Thanh Nhàn
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00274,Ph??ng C?u D?n
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00277,Ph??ng Bách Khoa
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00280,Ph??ng ??ng Tâm
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00283,Ph??ng V?nh Tuy
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00286,Ph??ng B?ch Mai
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00289,Ph??ng Qu?nh Mai
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00292,Ph??ng Qu?nh Lôi
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00295,Ph??ng Minh Khai
01,Hà N?i,007,Qu?n Hai Bà Tr?ng,00298,Ph??ng Tr??ng ??nh
01,Hà N?i,008,Qu?n Hoàng Mai,00301,Ph??ng Thanh Trì
01,Hà N?i,008,Qu?n Hoàng Mai,00304,Ph??ng V?nh H?ng
01,Hà N?i,008,Qu?n Hoàng Mai,00307,Ph??ng ??nh Công
01,Hà N?i,008,Qu?n Hoàng Mai,00310,Ph??ng Mai ??ng
01,Hà N?i,008,Qu?n Hoàng Mai,00313,Ph??ng T??ng Mai
01,Hà N?i,008,Qu?n Hoàng Mai,00316,Ph??ng ??i Kim
01,Hà N?i,008,Qu?n Hoàng Mai,00319,Ph??ng Tân Mai
01,Hà N?i,008,Qu?n Hoàng Mai,00322,Ph??ng Hoàng V?n Th?
01,Hà N?i,008,Qu?n Hoàng Mai,00325,Ph??ng Giáp Bát
01,Hà N?i,008,Qu?n Hoàng Mai,00328,Ph??ng L?nh Nam
01,Hà N?i,008,Qu?n Hoàng Mai,00331,Ph??ng Th?nh Li?t
